学号,班级,姓名,性别,英语,体育,军训,数分,高代,解几
2308024071,23080293,李欣,男,64.0,84.0,95.0,57.0,73.0,66.0
2308024071,23080293,李欣,男,64.0,84.0,95.0,57.0,73.0,66.0
2308024071,23080293,李欣,男,64.0,84.0,95.0,57.0,73.0,66.0
2308024071,23080293,李欣,男,64.0,84.0,95.0,57.0,73.0,66.0
2308024071,23080293,李欣,男,64.0,84.0,95.0,57.0,73.0,66.0
2308024071,23080293,李欣,男,64.0,84.0,95.0,57.0,73.0,66.0
2308024666,23080213,谢萍,男,0.0,0.0,0.0,0.0,0.0,0.0
2308024695,23080208,萧洋,男,0.0,0.0,0.0,0.0,0.0,0.0
2308024625,23080242,罗慧,女,0.0,0.0,0.0,0.0,0.0,0.0
2308024332,23080275,谭欣,男,0.0,0.0,0.0,0.0,0.0,0.0
2308024732,23080275,苏丹,女,0.0,0.0,0.0,0.0,0.0,0.0
2308024888,23080252,李桂芝,女,0.0,0.0,0.0,0.0,0.0,0.0
2308024102,23080226,宋海燕,男,45.0,71.0,95.0,59.0,86.0,56.0
2308024265,23080272,董秀荣,男,69.0,88.0,51.0,83.0,54.0,89.0
2308024614,23080282,王建平,女,86.0,58.0,48.0,72.0,82.0,50.0
2308024599,23080288,李淑华,女,59.0,80.0,48.0,45.0,92.0,46.0
2308024417,23080282,李博,女,67.0,68.0,70.0,52.0,46.0,40.0
2308024059,23080276,蔡建,女,51.0,90.0,86.0,54.0,76.0,93.0
2308024530,23080212,王萍,女,68.0,78.0,73.0,83.0,94.0,76.0
2308024987,23080277,王涛,女,75.0,53.0,96.0,81.0,53.0,94.0
2308024125,23080261,景兰英,男,69.0,95.0,46.0,84.0,45.0,50.0
2308024311,23080205,洪玉,男,93.0,82.0,78.0,47.0,85.0,87.0
2308024364,23080253,陈桂珍,男,41.0,94.0,86.0,62.0,77.0,95.0
2308024174,23080212,曾秀珍,女,77.0,46.0,51.0,88.0,48.0,50.0
2308024888,23080257,林鑫,男,98.0,52.0,68.0,92.0,46.0,59.0
2308024114,23080275,王秀珍,女,100.0,52.0,87.0,84.0,65.0,53.0
2308024508,23080290,王桂兰,男,79.0,58.0,79.0,78.0,66.0,40.0
2308024979,23080260,俞萍,女,44.0,65.0,78.0,81.0,69.0,100.0
2308024204,23080226,丁凯,女,43.0,61.0,79.0,78.0,54.0,44.0
2308024634,23080235,崔慧,男,62.0,63.0,46.0,53.0,99.0,97.0
2308024974,23080271,赵晶,男,40.0,65.0,58.0,48.0,48.0,87.0
2308024990,23080260,胡浩,女,44.0,100.0,100.0,71.0,88.0,63.0
2308024821,23080207,黄健,女,71.0,75.0,43.0,42.0,62.0,40.0
2308024375,23080206,罗婷,男,90.0,89.0,55.0,65.0,79.0,74.0
2308024203,23080236,欧阳英,男,77.0,91.0,76.0,58.0,73.0,76.0
2308024183,23080298,陆辉,男,52.0,63.0,49.0,78.0,56.0,71.0
2308024336,23080240,邓丽华,男,48.0,98.0,82.0,88.0,78.0,76.0
2308024873,23080252,刘云,女,76.0,100.0,89.0,66.0,72.0,90.0
2308024408,23080234,李颖,男,70.0,63.0,98.0,61.0,74.0,63.0
