学号,班级,姓名,性别,英语,体育,军训,数分,高代,解几
2308024573,23080231,吴娟,女,40,61,40,47,67,48
2308024138,23080217,谢桂芳,女,0,0,0,0,0,0
2308024192,23080222,陈敏,男,0,作弊,0,0,0,0
2308024721,23080240,刘玉华,女,缺勤,83,40,40,41,83
2308024482,23080291,康桂芳,男,83,99,67,0,70,90
2308024238,23080277,吕军,男,72,67,70,87,60,53
2308024982,23080219,乔燕,女,84,65,46,43,81,72
2308024771,23080221,包璐,女,54,41,55,92,53,65
2308024656,23080298,阎小红,男,78,51,65,78,80,47
2308024573,23080231,吴娟,女,40,61,0,47,67,48
2308024043,23080214,宋建平,女,0,0,0,0,0,0
2308024406,23080257,李兵,女,0,0,0,0,0,0
2308024556,23080218,官建国,女,0,0,0,0,0,0
2308024557,23080206,陈晶,男,0,0,0,0,0,0
2308024070,23080264,刘颖,男,0,0,0,0,0,0
2308024398,23080259,杨军,男,0,0,0,0,0,0
2308024655,23080207,李成,男,82,53,40,81,88,91
2308024721,23080296,赵佳,男,93,54,45,80,45,73
2308024190,23080276,姚萍,女,67,50,48,43,76,46
2308024192,23080281,丁丹,女,67,61,92,91,67,74
2308024932,23080216,陈莹,女,44,47,67,51,86,42
2308024033,23080202,邢军,男,58,42,42,100,96,40
2308024239,23080289,梁秀英,女,57,79,91,56,65,63
2308024734,23080201,陈璐,男,87,47,54,98,47,47
2308024430,23080277,时桂花,女,66,72,60,97,77,59
2308024613,23080256,金桂珍,男,69,94,81,46,94,52
2308024920,23080231,沈红霞,男,90,60,96,64,90,41
2308024509,23080296,杨鹏,男,99,87,72,93,80,98
2308024754,23080256,张健,女,49,78,40,63,44,71
2308024746,23080233,乔冬梅,男,50,56,48,67,68,60
2308024905,23080283,张楠,男,80,83,66,98,97,49
2308024320,23080286,杨兵,女,89,86,88,57,46,94
2308024033,23080240,沈东,女,65,48,42,68,86,97
2308024574,23080215,马林,男,61,69,79,52,85,65
2308024878,23080206,刘桂荣,男,42,74,40,79,58,90
2308024322,23080202,林玉华,女,91,44,45,74,40,64
2308024297,23080208,何坤,男,100,77,48,71,59,59
2308024737,23080213,李丽丽,女,84,79,77,83,55,72
2308024297,23080258,刘海燕,女,83,97,70,50,89,44
2308024256,23080247,吴淑华,女,92,47,84,87,47,51
2308024058,23080248,王雷,女,79,87,45,91,72,50
2308024202,23080280,杨玉梅,男,54,95,89,84,47,74
2308024881,23080280,贾春梅,男,54,49,97,47,90,56
2308024314,23080261,张超,女,92,60,42,48,87,86
2308024043,23080289,杨利,女,81,62,96,68,100,46
2308024093,23080264,孟帅,男,98,81,48,69,82,54
2308024415,23080215,梁波,男,61,88,98,45,89,50
2308024884,23080285,熊丹,男,63,57,作弊,90,43,93
2308024744,23080276,曹宁,女,86,93,52,90,44,80
2308024214,23080204,孙雪,女,89,94,43,58,65,72
2308024691,23080299,孔玉英,女,100,72,56,61,91,98
2308024294,23080281,谢柳,男,77,41,49,53,69,53
2308024299,23080222,郑利,男,46,56,94,85,77,42
2308024091,23080209,门红霞,男,64,78,46,86,64,49
2308024933,23080240,曾淑珍,女,50,64,92,55,89,58
2308024546,23080233,王建国,男,62,41,92,47,84,66
2308024486,23080252,刘红梅,男,90,87,42,99,86,88
2308024892,23080262,张兵,男,59,56,89,88,69,71
2308024171,23080263,钱玉华,女,98,62,85,54,80,69
2308024915,23080212,汤建国,男,94,53,55,98,91,64
2308024394,23080250,王明,女,96,93,75,64,61,90
2308024083,23080203,康英,女,57,60,47,93,98,49
2308024711,23080291,周婷,女,65,45,66,49,42,92
2308024970,23080281,谌岩,男,46,76,69,95,89,50
2308024052,23080263,杨桂珍,女,66,41,100,88,93,94
2308024497,23080289,张琳,男,82,51,93,96,56,68
2308024803,23080223,张颖,女,77,67,58,63,99,82
2308024489,23080284,周琴,女,70,94,64,87,57,92
2308024098,23080298,邓文,男,64,51,67,54,92,50
2308024905,23080266,黄晨,女,71,74,59,92,74,56
2308024728,23080200,严飞,男,43,44,66,62,83,45
2308024781,23080279,苑红梅,男,56,82,90,73,63,93
2308024024,23080266,赵秀荣,男,77,49,50,94,55,99
2308024563,23080243,刘亮,女,40,42,72,98,73,64
2308024682,23080247,刘燕,男,42,53,85,40,95,79
2308024498,23080219,李荣,女,70,63,97,51,55,83
2308024511,23080277,黄敏,男,77,94,45,45,69,42
2308024776,23080240,罗建,男,96,87,47,98,86,73
2308024749,23080271,周芳,女,42,93,61,55,100,44
2308024343,23080218,严桂荣,男,52,40,57,47,62,79
2308024316,23080279,许婷,男,97,60,76,74,76,83
2308024761,23080236,卢俊,男,57,85,84,47,69,92
2308024769,23080279,朱慧,男,91,59,94,71,98,77
2308024116,23080265,王霞,女,52,59,42,94,93,90
2308024136,23080254,陈英,男,41,58,81,84,66,45
2308024295,23080292,林超,男,78,60,44,61,42,94
